video,gt,head_pred,rule_pred
AquaCultureRd_TON_12.03.25_LS,3,0,0
ChipsRd_TON_12.03.25_LS,1,1,1
EMarseilles_MAS_12.22.25_LS_V1,1,2,2
EMarseilles_MAS_12.22.25_LS_V2,0,0,0
EagleCreekDrEtc_SHB_12.11.2025_LS,44,38,44
FernRidgeRd_TON_12.03.25_LS,19,29,21
GiantCityRd_TON_12.03.25_LS,8,3,3
GolfDr_SHB_12.11.2025,12,22,14
Melvin_SHW_01.18.2026_LS,5,2,1
N25thBlue_MAS_12.22.25_LS_V2,3,4,3
N25thRdBlue_MAS_12.22.25_LS_V1,0,0,0
N25thRdOrange_MAS_12.22.25_LS_V1,1,2,1
N25thRdOrange_MAS_12.22.25_LS_V2,0,0,0
NIron_SHW_01.18.2026_LS,4,23,12
NMarseillesRd_MAS_12.22.25_LS_V1,7,6,5
NMarseilles_MAS_12.22.25_LS_V2,3,1,1
NShelbyRd(blue)_SHB_12.11.2025_LS,27,21,20
NShelbyRd(green)_SHB_12.11.2025,2,1,2
NShelbyRd(pink)_SHB_12.11.2025_LS,4,5,5
NWolfCreek(blue)_SHB_12.11.2025,30,31,29
NWolfCreek(orange)_SHB_12.11.2025_LS,9,5,5
NatureTrail_TON_12.03.25_LS,15,9,7
OikosRd_TON_12.03.25_LS,2,2,1
Robinson_SHW_01.18.2026_LS,7,7,7
SBassett_SHW_01.18.2026_LS,11,11,11
SHog_SHW_01.18.2026_LS,9,6,5
SIron_SHW_01.18.2026_LS,1,2,2
TouchofNatureRd_TON_12.03.25_LS,2,0,0
Upper40_TON_12.03.25_LS,1,2,1
UpperRichland_SHW_01.18.2026_LS,0,1,1
WhoopieCatDam_SHW_01.18.2026_LS,1,2,2
WolfCreekRd_SHB_12.11.2025_LS,4,4,4
